"","PC1","PC2","PC3","PC4","PC5","PC6"
"species1",0.314840377467926,-0.598992630607872,0.257639522527231,0.123502385405584,0.621980460888757,0.271279760942454
"species2",-0.601011323874239,-0.430416015285368,-0.042264783593105,0.0223002912817809,0.184513258598149,-0.645909192409327
"species3",-0.208766685355819,0.16979714064223,-0.164807585757205,0.933067448387569,0.0871981520823562,0.149015035567163
"species4",-0.00016278305141916,-0.621969746960753,-0.494296175558386,0.0278936759073424,-0.529126405990753,0.296769418106538
"species5",0.207140195245143,0.171407069270436,-0.811617478480899,-0.153586309573282,0.480120711546433,-0.12200398599242
"species6",0.673179255021882,-0.10436505048505,0.040278823584001,0.298777815313363,-0.246983794559438,-0.619714503233321
