"","PC1","PC2","PC3"
"alp1",0.070579386865085,-0.680286224156708,-1.24244291043674
"alp2",0.193691348566802,-0.853873169229155,-0.937168485863312
"alp3",-0.124907071952658,-1.2477229991797,-0.829123673331895
"alp4",0.413364863361875,-0.18758649958895,-1.43213040418534
"alp5",-0.175504999218362,-0.0474499322822959,-2.15677143953443
"alp6",-0.962287433088565,-2.05263162987444,-0.790508532346812
"alp7",1.03338790218381,-1.45360136366766,0.522168247090498
"alp8",0.473567631320958,-2.00330246608516,0.560350626142191
"alp9",-0.884575229057363,-1.31903782642366,-1.49580770172233
"alp10",1.23721149923429,-1.09822838150735,0.342942053268258
"alp11",1.561795637535,-0.898800926230815,0.447859667655631
"alp12",-0.109937001916122,-1.53173181388945,-0.512182178457778
"alp13",0.830470446740273,-1.00601676041941,-0.152808137514928
"alp14",1.93599594687844,1.08501865227963,-1.29888899925102
"alp15",0.745736522229822,-1.30962147086093,0.087779876980458
"alp16",0.693968168615703,-1.51216283086031,0.252797460392608
"alp17",-0.322876962728632,-2.0737943510441,-0.143053391859599
"alp18",0.580300235895106,-0.716554287041262,-0.705585166548295
"alp19",-0.804466558502046,-0.264022250309489,-2.54099267082
"alp20",-0.136942694284594,-1.48157001677121,-0.591786428945565
"alp21",2.27733440555565,-0.360910797226823,0.574498180459142
"alp22",0.89985910465946,0.418627447527441,-1.60204873837445
"alp23",1.0442626953202,-0.302974012465359,-0.692478854870233
"alp24",1.2588972852449,0.34689530427582,-1.17466822918118
"alp25",0.941573199439963,-0.870386065511407,-0.188638470322745
"alp26",1.88665860856868,0.78121464400311,-1.02368933158436
"alp27",1.88145443168222,0.987857944834363,-1.24870366861816
"alp28",-0.462783691988915,-1.42976910905015,-0.965646463095311
"alp29",0.311735055176261,0.313723148464549,-2.06516111379193
"alp30",1.16966488970318,-0.847789824679987,0.0102288900931501
"alp31",0.889757931491638,-1.12389041502436,0.0307779589881445
"alp32",0.58756470108832,-0.860257344602951,-0.545430937569066
"alp33",0.146873561158272,0.223880408786833,-2.13067261827291
"alp34",-0.362818250357993,-1.78686255459302,-0.487641848441329
"alp35",2.49354468660303,0.49916618247323,-0.13016050456265
"alp36",-0.060894327237446,-0.82838248906329,-1.21324200779558
"alp37",1.83928391753167,-0.175903484298967,-0.0508198455892078
"alp38",1.51269816968408,-0.495032140285537,-0.0301495450494895
"alp39",0.692865610776619,0.705640592742408,-2.10999489776353
"alp40",-0.135574222595046,-1.24883567012043,-0.838459928174626
"alp41",-0.956166336172223,-1.53216496407832,-1.33870458421698
"alp42",2.2533697476187,-0.5161994669396,0.716365281002292
"alp43",2.62916906584656,-0.284606696017484,0.837077824566263
"alp44",1.70452339750339,-1.09103129836047,0.792081664624557
"alp45",-0.404956697593432,-1.62704774506746,-0.699043744531477
"alp46",0.317284311225274,-0.394405954059015,-1.30571993966018
"sub1",1.07650033972973,2.02647649132431,-1.3093959759221
"sub2",-0.468963727045313,-1.44543657851719,0.877164120422293
"sub3",0.193958480762029,-0.86170312278647,0.903657201652928
"sub4",-0.625690602745158,-0.162012623287871,-0.64263839913401
"sub5",1.09175612295754,0.739993182441991,0.0755206747746797
"sub6",-0.770921517301541,-0.191973054318369,-0.752590730838272
"sub7",0.413044820935305,0.272230537557789,-0.0897657844676624
"sub8",-0.491330151211965,-0.71415244989334,0.076688100622811
"sub9",-0.358638865387567,-0.652084270433943,0.140333025912058
"sub10",0.349887502422489,0.599620710787092,-0.500108784512764
"sub11",-0.252993750931492,0.400918665198556,-0.877872691573656
"sub12",2.30840923846674,1.37337880411702,0.590295624757998
"sub13",-0.341799908592748,-0.425976596229231,-0.0841156592925131
"sub14",1.15398151472899,1.5164629838045,-0.690541142857404
"sub15",-0.53074201884394,0.299400755489268,-1.04124128204395
"sub16",1.39974828156078,0.878830936727994,0.228734747968173
"sub17",0.769134727791876,0.695051379621102,-0.191932095675141
"sub18",1.09716198955452,0.0386455796545899,0.827623712249684
"sub19",-0.66882501894274,0.476326680463307,-1.36460428133648
"sub20",-0.87181946004776,-0.750497738670213,-0.25653216020299
"sub21",-1.81345875587052,-1.53481599128674,-0.34173365437032
"sub22",0.871632333150797,-0.706716868854557,1.40081386623749
"sub23",0.624973585046902,-0.677282557413154,1.12857278641883
"sub24",-0.259215296525001,-0.671576569953788,0.258157529203627
"sub25",-0.405668180463253,-1.52673606459769,1.0257182019198
"sub26",0.28911092241191,0.38105990989723,-0.326817747494926
"sub27",0.773371641389321,-0.704874899622157,1.30289843235247
"sub28",0.237622695173319,0.210633494536291,-0.195639389822605
"sub29",-0.99280132865902,-0.106279175119663,-1.06089454749996
"sub30",-0.226337765499021,0.133375974010661,-0.566844713197326
"sub31",0.434702443735269,-0.710687339328795,0.978014177269992
"sub32",-0.488486282389786,-1.6957334096472,1.12461376238514
"sub33",-0.0714611122219873,-0.906676224389803,0.69219409762026
"sub34",-0.119245916678608,-0.254773930337945,-0.0488794814512312
"sub35",0.283394244977166,0.115017342538714,-0.0489750233375502
"sub36",0.845259007997934,0.0888390663367943,0.528044958027354
"sub37",-0.128705064115218,0.581151336411686,-0.948231788806115
"sub38",-0.00907600315046647,0.207744536426017,-0.433687608979071
"sub39",0.370653465074117,1.07594054047368,-0.987213784067184
"sub40",-1.08651178520362,-0.31132150264593,-0.933948551185355
"sub41",1.16099004725378,0.954044978298585,-0.0847448893504611
"sub42",0.324965441915682,-0.578010188044039,0.72946985900383
"sub43",-0.828482175841498,-1.08233924976247,0.13919446123456
"sub44",0.334532751073191,-0.104375632410024,0.234531529854421
"sub45",0.879618525086168,-0.957924438167472,1.67622638209927
"sub46",0.111255509980902,-0.352694398950753,0.280731864451973
