"","PC1","PC2","PC3","PC4","PC5","PC6"
"alp1",0.445410904805795,0.309323859367749,-1.65552952362989,-0.929963135333741,-0.5423668623812,-0.86444044832726
"alp2",-0.236348533102308,0.680412995537011,-1.36621732542829,-0.952093371774409,-0.310860340411108,-0.0491235000278264
"alp3",0.667420253702509,-0.0256176056350471,-1.40444405203216,-0.738561931671869,-1.49291212790203,-0.00758631422377265
"alp4",-1.3134172634801,0.132935951594352,-0.444387367718573,-0.999149506347225,-0.620830273585606,-0.151653008628224
"alp5",-0.917884121739365,-0.319170753707622,-0.326495492268834,-1.65629263474564,-0.916022187436039,-0.744595248797944
"alp6",2.10965488324094,1.47002386194637,-0.106617547138803,-1.1029437252169,-0.901269900680557,-0.802245158169451
"alp7",-0.601619023616206,1.72634145400475,-0.704037060294712,0.349801773232664,-0.132136856631564,1.0527731090964
"alp8",1.33606085327303,1.74822662832275,-0.805471726291567,0.492004108816443,-0.66387308322224,0.103019122372572
"alp9",0.415051343767422,0.275783688955373,-1.08222547678893,-1.93894331062648,-1.01136588027224,0.0869918745340828
"alp10",-0.309446047415897,1.73247878822287,-1.6040529923658,0.391406290145535,0.415114672762279,0.308298372302365
"alp11",0.0773425568348541,2.34363395397072,1.98304656268607,1.65588292711088,-0.276587429665272,-1.18758981313899
"alp12",-0.0646648082568808,1.12838484072622,-0.566101687494393,-0.945319066428897,-0.61636336842802,0.678071898054236
"alp13",1.14045362902157,0.873990451831765,-1.92034811499183,0.435217592428595,-0.464529933453821,-0.972704352709744
"alp14",-2.11547724764874,0.357929698579498,1.12619847060017,0.714751654323964,-0.275931180885526,-1.78635716020707
"alp15",-0.377122331695912,0.572856394129416,-0.523722927221211,0.25579828619531,-1.34399811633969,0.895560018406406
"alp16",-0.28329231627026,1.00269961754815,-1.21713956792116,0.0396552936103271,-0.751079953819856,1.13316148298677
"alp17",0.882155937559185,1.551944566449,0.282857195966043,-0.54216268649617,-1.00974779939368,0.426633982287701
"alp18",-1.21367002670799,1.70466776074457,-0.0172799891485685,-0.73635655221935,0.491990054368082,0.126485547234467
"alp19",-1.724658623315,0.170530859619093,1.02409685190796,-2.61002494933292,-0.700767067577535,-0.0691795266754369
"alp20",0.221101703726349,0.412584581998038,1.43540747324614,-0.247749302968462,-2.21657630350233,0.216815612274484
"alp21",-1.49310621806925,0.604263404533881,-2.25607718292025,1.26072677631329,-0.177711846479382,0.773712597036792
"alp22",-3.12384228326478,0.0433068651060807,0.108628892783202,-1.10280098050299,-0.287184132261614,0.508820775512419
"alp23",-0.391524544170456,1.70215386707139,0.648843384617871,0.254963023674117,0.289757159201046,-1.45343023156115
"alp24",-0.985442229786422,0.813691701160418,-0.971695491036469,-0.131529442685609,0.48041839849887,-1.44790717144045
"alp25",-0.863720561009485,1.54765347812904,0.0911484108566017,0.076280984111524,-0.0576771329525466,0.160999997544942
"alp26",-2.41586841761403,0.395832551001588,-0.942267982367315,0.156011790128484,0.371202025483656,-0.619125070801211
"alp27",-1.33613348602042,-0.852101742856565,-0.692206155887562,0.832367931681284,-1.16584688984731,-1.64876442931476
"alp28",0.917995188733862,0.974882495200884,1.00765285830454,-0.721515839861405,-1.34746743007406,-0.721582302971979
"alp29",-0.615280183534814,-0.090385042468285,0.208316122621018,-0.896341514939122,-0.768647002477193,-1.78247323120128
"alp30",0.648788238320259,1.18065817089341,-0.702745665098227,0.89868172557972,-0.4864546426086,-1.04208817675069
"alp31",0.135595683791176,1.79613201338493,-1.13458667193559,0.154258658496494,0.338539987894135,-0.229732502493384
"alp32",-1.18599055458436,0.479977304927531,-0.465337587068824,-0.468147952692055,-0.88782128606968,0.857275782130819
"alp33",-0.794147220436242,0.558851195059863,0.097577423106745,-1.35259087028275,0.0378036691497603,-1.67756252727601
"alp34",1.04620778657367,1.13696067415529,0.481300114556046,-0.522933539360253,-1.32740472560538,-0.148961052719272
"alp35",-1.57911295609346,0.216650627574803,-1.49258653088415,1.4341172284309,-0.231151576145416,-0.66406920547336
"alp36",-0.355193003303677,1.51689040495718,-0.109922667610231,-1.28821716214495,0.306307995706811,-0.519542237421795
"alp37",-1.5483568569443,0.0602750533378932,-0.827791233486909,0.968017219233176,-1.03059489630047,0.368646324347195
"alp38",0.199669472845526,0.935268804446948,-0.807938284994394,1.10888464136423,-0.471554996502354,-1.0926848330496
"alp39",-1.30828697055468,-0.736342079539654,0.495226039639117,-0.554274613270717,-1.31004883916422,-1.59141856190953
"alp40",0.472568687719023,0.601144883834284,0.75694462103261,-0.460017328353836,-1.57104629376355,-0.398115861524215
"alp41",0.354464862724828,0.556615544869984,-0.793993251425845,-1.97011217708115,-0.94927416278754,0.37573750087213
"alp42",-2.54676232999506,2.12971299140648,-0.446292726947621,0.956065972619554,0.93257053355157,1.23893397056223
"alp43",-1.44155071699704,0.105414271581603,-1.03085523900371,2.185437038197,-1.30248861910461,0.606529341635553
"alp44",0.496395700859295,2.38383889310539,-0.979772016501608,1.40232385296237,0.630653276914329,-0.735942539768901
"alp45",0.278659854253586,1.80880247119514,1.63436652759742,-0.842295963841873,-0.714288564834347,-0.130211030935325
"alp46",-0.0528144734746656,-0.264815540883752,-1.51255171123512,-0.716199707476909,-1.02059629361255,-0.690535771702624
"sub1",-1.93263613260234,-2.2630285301723,-0.357537773002565,0.275433087693777,-0.862284023702695,-0.989760927233098
"sub2",1.10144494391259,0.0514163606407106,-0.278313668208752,0.203209328280654,-1.19903774891838,1.32897671421563
"sub3",-0.568386997689828,0.54038666828874,0.220217637790912,0.280454022851252,-0.280907766721296,1.73320514993091
"sub4",-0.509567491898767,0.718568365483938,0.304784181850954,-1.26658517182327,0.800550008876763,0.202718672418654
"sub5",-0.526634011094276,0.0908368569855741,0.595226535452996,1.11062790183099,0.127255905179994,-0.97790154863209
"sub6",0.255706013354576,-0.621054633950578,0.838848151786171,-0.726521566761903,-1.05874155142542,-0.133319249329946
"sub7",-0.293928224525813,-0.131445722220811,0.73387428815578,0.482195828685834,-0.385625439595083,-0.408449616495823
"sub8",0.685044941848077,0.496144758437674,-1.34679735186737,-0.687793656223978,0.45266581063086,0.427889391829737
"sub9",0.576340435841715,-1.15099227606338,0.976208880706064,0.385321531055542,-2.33589141733423,0.615975357833874
"sub10",-1.78983925730211,0.783923227854137,1.96988870090451,-0.268658136910888,0.752411608228027,-0.0924140209420045
"sub11",-2.09769776776495,1.23827463005147,2.12944645334429,-1.27260639686487,1.31381078750764,0.286291224654912
"sub12",-1.54305884658437,-0.235773673831863,0.809388884360899,2.37677895838379,-0.0563833465938568,-0.878083284181973
"sub13",1.25430869350809,0.7890159046025,-0.226948892938876,-0.171401190846328,0.462937983399429,-0.908481558384531
"sub14",-3.13481102760578,-1.24714285551801,-0.0812039534971747,-0.0215274320273916,-0.0725435123656364,0.710655209477226
